LeaseCompId,PropertyId,PropertyName,Tenant.Name,TenantIndustry,TenantNAICS,Market,Submarket,Address.DeliveryAddress,Suite,Address.Locality,Address.County,Address.PostalCode,Address.RegionName,Address.Subdivision,Address.Country,IsVerified.RawValue,SpaceUse,LeaseSource,LeaseOrigin,full_address_std
167100221.0,36156.0,,Millican Jones Interior Planning + Design,Services,,San Francisco,Union Square,445 Bush St,,San Francisco,San Francisco,94108.0,,CA,United States,False,Office,Third Party - Landlord Rep,CoStar Research,"445 BUSH ST, SAN FRANCISCO, CA 94108, UNITED STATES"
162545361.0,36157.0,New Montgomery Tower,Socotra Inc,Information,Software Publishers,San Francisco,South Financial District,33 New Montgomery St,290,San Francisco,San Francisco,94105.0,,CA,United States,False,Office,,CoStar Research,"33 NEW MONTGOMERY ST, SAN FRANCISCO, CA 94105, UNITED STATES"
70221222.0,36158.0,115 Sansome St,,,,San Francisco,Financial District,115 Sansome St,,San Francisco,San Francisco,94104.0,,CA,United States,False,Office,Third Party - Other,CoStar Research,"115 SANSOME ST, SAN FRANCISCO, CA 94104, UNITED STATES"
133318191.0,36159.0,Second Street Square,,,,San Francisco,Rincon/South Beach,501 2nd St,,San Francisco,San Francisco,94107.0,,CA,United States,False,Office,Third Party - Landlord Rep,CoStar Research,"501 2ND ST, SAN FRANCISCO, CA 94107, UNITED STATES"
70087748.0,36160.0,,,,,San Francisco,Financial District,110 Sutter St,,San Francisco,San Francisco,94104.0,,CA,United States,False,Office,Third Party - Other,CoStar Research,"110 SUTTER ST, SAN FRANCISCO, CA 94104, UNITED STATES"
204571941.0,36161.0,,Homebridge,Finance and Insurance,Real Estate Credit,San Francisco,MidMarket,1033-1045 Market St,L-1,San Francisco,San Francisco,94103.0,,CA,United States,False,Office/Medical,Direct - Press Release,CoStar Research,"1033 MARKET ST, SAN FRANCISCO, CA 94103, UNITED STATES"
70054428.0,36162.0,,,,,San Francisco,Union Square,710 Market St,,San Francisco,San Francisco,94102.0,,CA,United States,False,Office,Third Party - Other,CoStar Research,"710 MARKET ST, SAN FRANCISCO, CA 94102, UNITED STATES"
70017739.0,36163.0,Lululemon,,,,San Francisco,Union Square,327-333 Grant Ave,,San Francisco,San Francisco,94108.0,,CA,United States,False,Retail,Third Party - Other,CoStar Research,"327 GRANT AVE, SAN FRANCISCO, CA 94108, UNITED STATES"
70225712.0,36164.0,,,,,San Francisco,Bayview/Hunters Point,50 Mendell St,,San Francisco,San Francisco,94124.0,,CA,United States,False,Office,Third Party - Other,CoStar Research,"50 MENDELL ST, SAN FRANCISCO, CA 94124, UNITED STATES"
10617690.0,36165.0,,Raging Stallion Studios,Information,Motion Picture and Video Production,San Francisco,MidMarket,1155 Mission St,,San Francisco,San Francisco,94103.0,,CA,United States,False,Office,Third Party - Other,CoStar Research,"1155 MISSION ST, SAN FRANCISCO, CA 94103, UNITED STATES"
