LeaseCompId,PropertyId,PropertyName,Address.DeliveryAddress,Address.Locality,Address.Subdivision,Address.PostalCode,Address.County,Market,Submarket,full_address_std,match,matched_address,latitude,longitude,state_fips,county_fips,census_tract,census_block,geoid,tie_matched_addresses,tie_latitudes,tie_longitudes,tie_geoids
167100221.0,36156.0,,445 Bush St,San Francisco,CA,94108.0,San Francisco,San Francisco,Union Square,"445 BUSH ST, SAN FRANCISCO, CA 94108, UNITED STATES",Match,"445 BUSH ST, SAN FRANCISCO, CA, 94108",37.790605443645,-122.40482595485,6.0,75.0,11700.0,4006.0,60750117004006.0,,,,
162545361.0,36157.0,New Montgomery Tower,33 New Montgomery St,San Francisco,CA,94105.0,San Francisco,San Francisco,South Financial District,"33 NEW MONTGOMERY ST, SAN FRANCISCO, CA 94105, UNITED STATES",Match,"33 NEW MONTGOMERY ST, SAN FRANCISCO, CA, 94105",37.788385982616,-122.401551340392,6.0,75.0,61501.0,3000.0,60750615013000.0,,,,
70221222.0,36158.0,115 Sansome St,115 Sansome St,San Francisco,CA,94104.0,San Francisco,San Francisco,Financial District,"115 SANSOME ST, SAN FRANCISCO, CA 94104, UNITED STATES",Match,"115 SANSOME ST, SAN FRANCISCO, CA, 94104",37.79134015316,-122.400849543769,6.0,75.0,11700.0,2018.0,60750117002018.0,,,,
133318191.0,36159.0,Second Street Square,501 2nd St,San Francisco,CA,94107.0,San Francisco,San Francisco,Rincon/South Beach,"501 2ND ST, SAN FRANCISCO, CA 94107, UNITED STATES",Match,"501 2ND ST, SAN FRANCISCO, CA, 94107",37.782822132351,-122.3931927709,6.0,75.0,61508.0,3001.0,60750615083001.0,,,,
70087748.0,36160.0,,110 Sutter St,San Francisco,CA,94104.0,San Francisco,San Francisco,Financial District,"110 SUTTER ST, SAN FRANCISCO, CA 94104, UNITED STATES",Match,"110 SUTTER ST, SAN FRANCISCO, CA, 94104",37.790032198344,-122.402722356458,6.0,75.0,11700.0,4003.0,60750117004003.0,,,,
204571941.0,36161.0,,1033-1045 Market St,San Francisco,CA,94103.0,San Francisco,San Francisco,MidMarket,"1033 MARKET ST, SAN FRANCISCO, CA 94103, UNITED STATES",Match,"1033 MARKET ST, SAN FRANCISCO, CA, 94103",37.781542566075,-122.410915137303,6.0,75.0,17604.0,3000.0,60750176043000.0,,,,
70054428.0,36162.0,,710 Market St,San Francisco,CA,94102.0,San Francisco,San Francisco,Union Square,"710 MARKET ST, SAN FRANCISCO, CA 94102, UNITED STATES",No_Match,,,,,,,,,,,,
70017739.0,36163.0,Lululemon,327-333 Grant Ave,San Francisco,CA,94108.0,San Francisco,San Francisco,Union Square,"327 GRANT AVE, SAN FRANCISCO, CA 94108, UNITED STATES",Match,"327 GRANT AVE, SAN FRANCISCO, CA, 94108",37.790124231331,-122.40558264685,6.0,75.0,11700.0,4007.0,60750117004007.0,,,,
70225712.0,36164.0,,50 Mendell St,San Francisco,CA,94124.0,San Francisco,San Francisco,Bayview/Hunters Point,"50 MENDELL ST, SAN FRANCISCO, CA 94124, UNITED STATES",Match,"50 MENDELL ST, SAN FRANCISCO, CA, 94124",37.743513200775,-122.383497981949,6.0,75.0,980900.0,1023.0,60759809001023.0,,,,
10617690.0,36165.0,,1155 Mission St,San Francisco,CA,94103.0,San Francisco,San Francisco,MidMarket,"1155 MISSION ST, SAN FRANCISCO, CA 94103, UNITED STATES",Match,"1155 MISSION ST, SAN FRANCISCO, CA, 94103",37.778223970322,-122.41208826784,6.0,75.0,17603.0,2000.0,60750176032000.0,,,,
160687971.0,36167.0,Schroeder Bldg,234-240 Front St,San Francisco,CA,94111.0,San Francisco,San Francisco,Financial District,"234 FRONT ST, SAN FRANCISCO, CA 94111, UNITED STATES",Match,"234 FRONT ST, SAN FRANCISCO, CA, 94111",37.793956993425,-122.398828999717,6.0,75.0,11700.0,2001.0,60750117002001.0,,,,
70434154.0,36168.0,,930 Alabama St,San Francisco,CA,94110.0,San Francisco,San Francisco,Mission/Potrero,"930 ALABAMA ST, SAN FRANCISCO, CA 94110, UNITED STATES",Match,"930 ALABAMA ST, SAN FRANCISCO, CA, 94110",37.756971180914,-122.411449100112,6.0,75.0,22803.0,2004.0,60750228032004.0,,,,
110060542.0,36170.0,Bayview Bank,4610 Mission St,San Francisco,CA,94112.0,San Francisco,San Francisco,Southern City,"4610 MISSION ST, SAN FRANCISCO, CA 94112, UNITED STATES",Match,"4610 MISSION ST, SAN FRANCISCO, CA, 94112",37.724445235502,-122.435061761807,6.0,75.0,25501.0,3003.0,60750255013003.0,,,,
11028496.0,36171.0,Los Portales Medical Center,2480-2482 Mission St,San Francisco,CA,94110.0,San Francisco,San Francisco,Mission/Potrero,"2480 MISSION ST, SAN FRANCISCO, CA 94110, UNITED STATES",Match,"2480 MISSION ST, SAN FRANCISCO, CA, 94110",37.757362455146,-122.419004123793,6.0,75.0,20801.0,2002.0,60750208012002.0,,,,
111180421.0,36178.0,,4596 Mission St,San Francisco,CA,94112.0,San Francisco,San Francisco,Southern City,"4596 MISSION ST, SAN FRANCISCO, CA 94112, UNITED STATES",Match,"4596 MISSION ST, SAN FRANCISCO, CA, 94112",37.724662130405,-122.434897578795,6.0,75.0,25501.0,3002.0,60750255013002.0,,,,
70284729.0,36180.0,,1145 Bush St,San Francisco,CA,94109.0,San Francisco,San Francisco,Van Ness/Chinatown,"1145 BUSH ST, SAN FRANCISCO, CA 94109, UNITED STATES",Match,"1145 BUSH ST, SAN FRANCISCO, CA, 94109",37.789169804192,-122.416088496408,6.0,75.0,12001.0,2000.0,60750120012000.0,,,,
114212146.0,36185.0,,2301-2323 Noriega St,San Francisco,CA,94122.0,San Francisco,San Francisco,Southern City,"2301 NORIEGA ST, SAN FRANCISCO, CA 94122, UNITED STATES",Match,"2301 NORIEGA ST, SAN FRANCISCO, CA, 94122",37.753656782782,-122.48833176161,6.0,75.0,32902.0,2002.0,60750329022002.0,,,,
10787803.0,36186.0,,926 Taraval St,San Francisco,CA,94116.0,San Francisco,San Francisco,Southern City,"926 TARAVAL ST, SAN FRANCISCO, CA 94116, UNITED STATES",Match,"926 TARAVAL ST, SAN FRANCISCO, CA, 94116",37.743095863695,-122.47603998557,6.0,75.0,32801.0,2000.0,60750328012000.0,,,,
