county_geoid,total_rows,match_rows,tie_rows,strict_match_rate_pct,state_abbrev
00000,74040,0,0,0.0,
01001,94,85,9,90.43,AL
01003,507,500,7,98.62,AL
01005,15,14,1,93.33,AL
01007,7,7,0,100.0,AL
01009,35,35,0,100.0,AL
01011,6,6,0,100.0,AL
01013,21,21,0,100.0,AL
01015,207,206,1,99.52,AL
01017,16,16,0,100.0,AL
01019,10,9,1,90.0,AL
01021,34,34,0,100.0,AL
01025,11,11,0,100.0,AL
01027,1,1,0,100.0,AL
01029,6,6,0,100.0,AL
01031,41,40,1,97.56,AL
01033,84,84,0,100.0,AL
01035,1,1,0,100.0,AL
01039,15,15,0,100.0,AL
01041,3,3,0,100.0,AL
01043,75,70,5,93.33,AL
01045,33,33,0,100.0,AL
01047,34,32,2,94.12,AL
01049,35,33,2,94.29,AL
01051,88,84,4,95.45,AL
01053,24,24,0,100.0,AL
01055,162,159,3,98.15,AL
01057,3,2,1,66.67,AL
01059,15,15,0,100.0,AL
01061,6,6,0,100.0,AL
01063,1,1,0,100.0,AL
01065,1,1,0,100.0,AL
01067,10,10,0,100.0,AL
01069,243,243,0,100.0,AL
01071,24,24,0,100.0,AL
01073,2455,2440,15,99.39,AL
01077,131,130,1,99.24,AL
01079,6,6,0,100.0,AL
01081,252,251,1,99.6,AL
01083,102,100,2,98.04,AL
01087,9,9,0,100.0,AL
01089,1099,1077,22,98.0,AL
01091,24,21,3,87.5,AL
01093,13,13,0,100.0,AL
01095,116,115,1,99.14,AL
01097,1180,1174,6,99.49,AL
01099,12,11,1,91.67,AL
01101,859,852,7,99.19,AL
01103,241,223,18,92.53,AL
01105,4,4,0,100.0,AL
01107,1,1,0,100.0,AL
01109,35,35,0,100.0,AL
01111,3,3,0,100.0,AL
01113,55,54,1,98.18,AL
01115,97,97,0,100.0,AL
01117,765,744,21,97.25,AL
01119,4,4,0,100.0,AL
01121,88,83,5,94.32,AL
01123,28,28,0,100.0,AL
01125,426,426,0,100.0,AL
01127,40,40,0,100.0,AL
01129,2,2,0,100.0,AL
01131,3,3,0,100.0,AL
01133,12,12,0,100.0,AL
02016,1,1,0,100.0,AK
02020,765,764,1,99.87,AK
02050,1,1,0,100.0,AK
02090,101,99,2,98.02,AK
02110,19,19,0,100.0,AK
02122,27,27,0,100.0,AK
02130,4,4,0,100.0,AK
02170,100,100,0,100.0,AK
02230,1,1,0,100.0,AK
04001,7,7,0,100.0,AZ
04003,149,149,0,100.0,AZ
04005,264,262,2,99.24,AZ
04007,55,55,0,100.0,AZ
04009,11,11,0,100.0,AZ
04011,3,3,0,100.0,AZ
04012,8,8,0,100.0,AZ
04013,17203,17174,29,99.83,AZ
04015,407,405,2,99.51,AZ
04017,64,63,1,98.44,AZ
04019,3838,3818,20,99.48,AZ
04021,493,492,1,99.8,AZ
04023,76,76,0,100.0,AZ
04025,669,664,5,99.25,AZ
04027,186,186,0,100.0,AZ
05001,11,11,0,100.0,AR
05003,11,11,0,100.0,AR
05005,24,23,1,95.83,AR
05007,891,885,6,99.33,AR
05009,25,25,0,100.0,AR
05011,6,6,0,100.0,AR
05013,1,1,0,100.0,AR
05015,12,12,0,100.0,AR
05017,5,5,0,100.0,AR
05019,26,26,0,100.0,AR
05021,5,5,0,100.0,AR
05023,9,9,0,100.0,AR
05025,3,3,0,100.0,AR
05027,13,13,0,100.0,AR
05029,14,12,2,85.71,AR
05031,292,289,3,98.97,AR
05033,84,84,0,100.0,AR
05035,89,89,0,100.0,AR
05037,9,9,0,100.0,AR
05039,5,5,0,100.0,AR
05041,8,8,0,100.0,AR
05043,16,16,0,100.0,AR
05045,321,320,1,99.69,AR
05047,7,7,0,100.0,AR
05049,3,3,0,100.0,AR
05051,219,219,0,100.0,AR
05053,17,17,0,100.0,AR
05055,39,39,0,100.0,AR
05057,20,19,1,95.0,AR
05059,34,33,1,97.06,AR
05061,8,8,0,100.0,AR
05063,24,24,0,100.0,AR
05065,5,5,0,100.0,AR
05067,13,13,0,100.0,AR
05069,97,97,0,100.0,AR
05071,14,14,0,100.0,AR
05073,4,4,0,100.0,AR
05075,7,7,0,100.0,AR
05077,4,4,0,100.0,AR
05079,4,4,0,100.0,AR
05081,6,6,0,100.0,AR
05083,7,7,0,100.0,AR
05085,109,109,0,100.0,AR
05087,4,4,0,100.0,AR
05089,3,3,0,100.0,AR
05091,31,31,0,100.0,AR
05093,37,37,0,100.0,AR
05095,3,3,0,100.0,AR
05097,2,2,0,100.0,AR
05099,2,2,0,100.0,AR
05101,1,1,0,100.0,AR
05103,16,15,1,93.75,AR
05105,3,3,0,100.0,AR
05107,9,9,0,100.0,AR
05109,5,5,0,100.0,AR
05111,16,16,0,100.0,AR
05113,4,4,0,100.0,AR
05115,87,87,0,100.0,AR
05117,1,1,0,100.0,AR
05119,1524,1517,7,99.54,AR
05121,7,7,0,100.0,AR
05123,25,22,3,88.0,AR
05125,178,173,5,97.19,AR
05127,6,6,0,100.0,AR
05129,2,2,0,100.0,AR
05131,411,411,0,100.0,AR
05133,5,5,0,100.0,AR
05135,3,3,0,100.0,AR
05137,5,5,0,100.0,AR
05139,30,30,0,100.0,AR
05141,4,4,0,100.0,AR
05143,833,821,12,98.56,AR
05145,126,124,2,98.41,AR
05147,2,2,0,100.0,AR
05149,11,11,0,100.0,AR
06001,7541,7529,12,99.84,CA
06003,1,1,0,100.0,CA
06005,62,61,1,98.39,CA
06007,691,685,6,99.13,CA
06009,50,49,1,98.0,CA
06011,21,21,0,100.0,CA
06013,3333,3263,70,97.9,CA
06015,25,25,0,100.0,CA
06017,644,644,0,100.0,CA
06019,3251,3231,20,99.38,CA
06021,37,36,1,97.3,CA
06023,289,288,1,99.65,CA
06025,292,285,7,97.6,CA
06027,19,19,0,100.0,CA
06029,1971,1970,1,99.95,CA
06031,166,166,0,100.0,CA
06033,67,67,0,100.0,CA
06035,24,24,0,100.0,CA
06037,45288,45152,136,99.7,CA
06039,255,241,14,94.51,CA
06041,1300,1299,1,99.92,CA
06043,7,7,0,100.0,CA
06045,121,119,2,98.35,CA
06047,531,527,4,99.25,CA
06049,10,10,0,100.0,CA
