state_abbrev,total_rows,match_rows,tie_rows,resolved_rows,ambiguous_rows,missing_rows,strict_match_rate_pct,match_or_tie_rate_pct,tract_resolution_rate_pct
ME,2975,2957,18,2973,2,0,99.39,100.0,99.93
NH,3782,3768,14,3779,3,0,99.63,100.0,99.92
AK,1058,1016,3,1057,1,0,96.03,96.31,99.91
AZ,24670,23373,60,24646,15,9,94.74,94.99,99.9
KS,7596,7296,32,7585,7,4,96.05,96.47,99.86
NE,4953,4666,17,4946,3,4,94.21,94.55,99.86
WY,722,656,3,721,1,0,90.86,91.27,99.86
NV,11878,11194,50,11860,13,5,94.24,94.66,99.85
VA,25455,23723,79,25414,31,10,93.2,93.51,99.84
MD,18351,17116,77,18320,27,4,93.27,93.69,99.83
WI,13646,12598,70,13623,20,3,92.32,92.83,99.83
CA,165793,157804,656,165498,271,24,95.18,95.58,99.82
DC,3291,3187,3,3285,2,4,96.84,96.93,99.82
MI,31221,29496,151,31161,49,11,94.47,94.96,99.81
HI,3197,2254,11,3191,6,0,70.5,70.85,99.81
NY,62311,56172,354,62184,99,28,90.15,90.72,99.8
CO,22600,21368,81,22555,36,9,94.55,94.91,99.8
NJ,30168,29957,211,30101,67,0,99.3,100.0,99.78
MA,21281,21199,82,21234,47,0,99.61,100.0,99.78
CT,14131,14075,56,14097,34,0,99.6,100.0,99.76
LA,10206,9275,79,10182,20,4,90.88,91.65,99.76
RI,3667,3654,13,3658,9,0,99.65,100.0,99.75
ID,5704,5388,32,5689,8,7,94.46,95.02,99.74
OH,37188,35120,213,37086,81,21,94.44,95.01,99.73
WA,23906,22746,132,23841,52,13,95.15,95.7,99.73
OR,14913,14093,81,14872,32,9,94.5,95.04,99.73
UT,10044,9256,56,10017,22,5,92.15,92.71,99.73
WV,2724,2114,17,2716,6,2,77.61,78.23,99.71
PA,37662,34021,213,37547,78,37,90.33,90.9,99.69
AR,6428,5872,45,6408,15,5,91.35,92.05,99.69
SD,1602,1502,10,1597,5,0,93.76,94.38,99.69
IL,39768,36959,310,39635,102,31,92.94,93.72,99.67
NC,34365,31982,275,34251,102,12,93.07,93.87,99.67
DE,2954,2714,18,2944,10,0,91.88,92.48,99.66
MO,17780,16327,179,17713,39,28,91.83,92.83,99.62
TX,88171,77391,556,87826,268,77,87.77,88.4,99.61
IA,5690,5356,49,5667,21,2,94.13,94.99,99.6
KY,9212,8418,78,9174,33,5,91.38,92.23,99.59
MS,4320,3655,77,4302,14,4,84.61,86.39,99.58
TN,19188,17968,184,19106,74,8,93.64,94.6,99.57
MN,13224,12239,113,13166,49,9,92.55,93.41,99.56
VT,1101,1096,5,1096,5,0,99.55,100.0,99.55
IN,17857,16587,156,17775,71,11,92.89,93.76,99.54
OK,12095,11099,66,12034,24,37,91.77,92.31,99.5
AL,11378,9789,141,11321,47,10,86.03,87.27,99.5
SC,19076,17431,180,18974,86,16,91.38,92.32,99.47
FL,79864,73271,809,79414,320,130,91.74,92.76,99.44
NM,5291,4840,48,5260,23,8,91.48,92.38,99.41
GA,36736,33120,479,36434,253,49,90.16,91.46,99.18
MT,1959,1807,24,1941,16,2,92.24,93.47,99.08
ND,1748,1517,31,1730,18,0,86.78,88.56,98.97
