state_abbrev,total_rows,resolved_rows,ambiguous_rows,missing_rows,one_to_one_rows,tie_via_zip_rows,tie_unanimous_rows,resolution_rate_pct,ambiguous_rate_pct,missing_rate_pct
CA,165793,165498,271,24,165113,379,6,99.82,0.16,0.01
TX,88171,87826,268,77,87538,280,8,99.61,0.3,0.09
FL,79864,79414,320,130,78925,474,15,99.44,0.4,0.16
NY,62311,62184,99,28,61929,250,5,99.8,0.16,0.04
IL,39768,39635,102,31,39427,204,4,99.67,0.26,0.08
PA,37662,37547,78,37,37412,134,1,99.69,0.21,0.1
OH,37188,37086,81,21,36954,130,2,99.73,0.22,0.06
GA,36736,36434,253,49,36208,219,7,99.18,0.69,0.13
NC,34365,34251,102,12,34078,169,4,99.67,0.3,0.03
MI,31221,31161,49,11,31059,100,2,99.81,0.16,0.04
