state_abbrev,total_rows,resolved_rows,ambiguous_rows,missing_rows,one_to_one_rows,tie_via_zip_rows,tie_unanimous_rows,resolution_rate_pct,ambiguous_rate_pct,missing_rate_pct
ND,1748,1730,18,0,1717,13,0,98.97,1.03,0.0
MT,1959,1941,16,2,1933,8,0,99.08,0.82,0.1
GA,36736,36434,253,49,36208,219,7,99.18,0.69,0.13
NM,5291,5260,23,8,5235,24,1,99.41,0.43,0.15
FL,79864,79414,320,130,78925,474,15,99.44,0.4,0.16
SC,19076,18974,86,16,18880,93,1,99.47,0.45,0.08
OK,12095,12034,24,37,11992,40,2,99.5,0.2,0.31
AL,11378,11321,47,10,11227,88,6,99.5,0.41,0.09
IN,17857,17775,71,11,17690,85,0,99.54,0.4,0.06
VT,1101,1096,5,0,1096,0,0,99.55,0.45,0.0
