state_abbrev,total_rows,resolved_rows,ambiguous_rows,missing_rows,one_to_one_rows,tie_via_zip_rows,tie_unanimous_rows,resolution_rate_pct,ambiguous_rate_pct,missing_rate_pct
ME,2975,2973,2,0,2957,0,16,99.93,0.07,0.0
NH,3782,3779,3,0,3768,0,11,99.92,0.08,0.0
AK,1058,1057,1,0,1055,2,0,99.91,0.09,0.0
AZ,24670,24646,15,9,24601,43,2,99.9,0.06,0.04
KS,7596,7585,7,4,7560,25,0,99.86,0.09,0.05
NE,4953,4946,3,4,4932,13,1,99.86,0.06,0.08
WY,722,721,1,0,719,2,0,99.86,0.14,0.0
NV,11878,11860,13,5,11823,37,0,99.85,0.11,0.04
VA,25455,25414,31,10,25366,46,2,99.84,0.12,0.04
MD,18351,18320,27,4,18270,49,1,99.83,0.15,0.02
WI,13646,13623,20,3,13573,49,1,99.83,0.15,0.02
CA,165793,165498,271,24,165113,379,6,99.82,0.16,0.01
DC,3291,3285,2,4,3284,1,0,99.82,0.06,0.12
MI,31221,31161,49,11,31059,100,2,99.81,0.16,0.04
HI,3197,3191,6,0,3186,5,0,99.81,0.19,0.0
NY,62311,62184,99,28,61929,250,5,99.8,0.16,0.04
CO,22600,22555,36,9,22510,43,2,99.8,0.16,0.04
NJ,30168,30101,67,0,29957,0,144,99.78,0.22,0.0
MA,21281,21234,47,0,21199,0,35,99.78,0.22,0.0
CT,14131,14097,34,0,14075,0,22,99.76,0.24,0.0
LA,10206,10182,20,4,10123,59,0,99.76,0.2,0.04
RI,3667,3658,9,0,3654,0,4,99.75,0.25,0.0
ID,5704,5689,8,7,5665,24,0,99.74,0.14,0.12
OH,37188,37086,81,21,36954,130,2,99.73,0.22,0.06
WA,23906,23841,52,13,23761,78,2,99.73,0.22,0.05
OR,14913,14872,32,9,14823,49,0,99.73,0.21,0.06
UT,10044,10017,22,5,9983,34,0,99.73,0.22,0.05
WV,2724,2716,6,2,2705,10,1,99.71,0.22,0.07
PA,37662,37547,78,37,37412,134,1,99.69,0.21,0.1
AR,6428,6408,15,5,6378,28,2,99.69,0.23,0.08
SD,1602,1597,5,0,1592,5,0,99.69,0.31,0.0
IL,39768,39635,102,31,39427,204,4,99.67,0.26,0.08
NC,34365,34251,102,12,34078,169,4,99.67,0.3,0.03
DE,2954,2944,10,0,2936,8,0,99.66,0.34,0.0
MO,17780,17713,39,28,17573,140,0,99.62,0.22,0.16
TX,88171,87826,268,77,87538,280,8,99.61,0.3,0.09
IA,5690,5667,21,2,5639,28,0,99.6,0.37,0.04
KY,9212,9174,33,5,9129,45,0,99.59,0.36,0.05
MS,4320,4302,14,4,4239,63,0,99.58,0.32,0.09
TN,19188,19106,74,8,18996,106,4,99.57,0.39,0.04
MN,13224,13166,49,9,13102,64,0,99.56,0.37,0.07
VT,1101,1096,5,0,1096,0,0,99.55,0.45,0.0
IN,17857,17775,71,11,17690,85,0,99.54,0.4,0.06
OK,12095,12034,24,37,11992,40,2,99.5,0.2,0.31
AL,11378,11321,47,10,11227,88,6,99.5,0.41,0.09
SC,19076,18974,86,16,18880,93,1,99.47,0.45,0.08
FL,79864,79414,320,130,78925,474,15,99.44,0.4,0.16
NM,5291,5260,23,8,5235,24,1,99.41,0.43,0.15
GA,36736,36434,253,49,36208,219,7,99.18,0.69,0.13
MT,1959,1941,16,2,1933,8,0,99.08,0.82,0.1
ND,1748,1730,18,0,1717,13,0,98.97,1.03,0.0
