state_abbrev,total_rows,resolved_rows,ambiguous_rows,missing_rows,one_to_one_rows,tie_via_zip_rows,tie_unanimous_rows,resolution_rate_pct,ambiguous_rate_pct,missing_rate_pct
ME,2975,2973,2,0,2957,0,16,99.93,0.07,0.0
NH,3782,3779,3,0,3768,0,11,99.92,0.08,0.0
AK,1058,1057,1,0,1055,2,0,99.91,0.09,0.0
AZ,24670,24646,15,9,24601,43,2,99.9,0.06,0.04
KS,7596,7585,7,4,7560,25,0,99.86,0.09,0.05
NE,4953,4946,3,4,4932,13,1,99.86,0.06,0.08
NV,11878,11860,13,5,11823,37,0,99.85,0.11,0.04
VA,25455,25414,31,10,25366,46,2,99.84,0.12,0.04
MD,18351,18320,27,4,18270,49,1,99.83,0.15,0.02
WI,13646,13623,20,3,13573,49,1,99.83,0.15,0.02
